CONCEDENTE|BENEFICIADO|CONVENIO|DESCRICAO_CONVENIO|CONVENIO_ORIGEM|BANCO|AGENCIA|CONTA|DATA_INICIO|DATA_TERMINO|VALOR|DATA_TRANSACAO|TIPO_CONVENIO|DATA_CELEBRACAO|EMPENHO_REF|VALOR_PARTIDA|VALOR_CONTRAPARTIDA|DESCRICAO_CONCEDENTE|DESCRICAO_BENEFICIADO|ANO|TIPO_BENEFICIADO
410016|12517413000127|002058|EXECUCAO DO PROJETO " TERRITORIO DA CIDADANIA DO AGRESTE E ALTO SERTAO DE ALAGOAS", VISANDO IMPLANTACAO DE 160 UNID. DE PRODUCAO AGROECOLOGICA INTEGRADA SUSTENTAVEL/PAIS, EM MUNIC. DO AGRESTE E ALTO S|04/2009 SEBRAE|001|00132|179671|2009/07/16|2010/12/31|1680000|2009/09/22|1|2009/07/16|DESPESA|1680000|0|SEC  DE EST DO PLANEJ E DO DESEN ECONOMICO|SERVICO DE APO AS MED E PEQ EMP DE AL SEBRAE|2009|PJ
410016|04285063000192|001015|RECURSOS FINANCEIROS DO ESTADO PARA O INSTITUTO VILA FLOR, VISANDO AQUISICAO DE MATERIAIS DE LIMPEZA, ESCRITORIO E PESSOAL. VISANDO A ESTRUTURACAO ORGANIZACIONAL E CAPACITACAO DO FORUM PERMANENTE PELA|05/2009 SEPLAN|001|31860|231169|2009/10/01|2010/09/30|81416|2009/11/26|4|2009/10/01|DESPESA|81416|0|SEC  DE EST DO PLANEJ E DO DESEN ECONOMICO|INSTITUTO VILA FLOR|2009|PJ
520030|12315123000109|002062|O CONVENIO TEM POR OBJETO PROMOVER ATRAVES DE PARCERIA COM O ESTADO DE ALAGOAS ATRAVES DA SEAGRI A REALIZACAO DA 59 EXPOSICAO AGROPECUARIA E PRODUTOS DERIVADOS DE ALAGOAS|CONVENIO N 2|001|15237|35923|2009/10/15|2009/12/31|253000|2009/10/22|1|2009/10/14|DESPESA|253000|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|FEDERACAO DA AGRICULTURA E PECUARIA DO EST AL|2009|PJ
520030|00759221000148|001013|PROJETO FEIRAS CAMPONESAS,, PERIDO DE 09 A 11 DE JUNHO DE 2009 E 13 A 16 DE OUTUBRO DE 2009.|PROC.ADM.1400/|104|27359|11001|2009/06/05|2009/10/30|60000|2009/06/09|4|2009/06/05|DESPESA|60000|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|PASTORAL DA TERRA DE ALAGOAS|2009|PJ
410016|12517413000127|002060|CONTINUIDADE AS ACOES NECESSARIAS A ESTRUTURACAO E AMPLIACAO DO PROGRAMA DO BIODIESEL DO ESTADO DE ALAGOAS/PROBIODIESEL.|CONV.01/09|001|00132|12706X|2009/03/18|2010/09/17|300000|2009/09/30|1|2009/03/18|DESPESA|300000|0|SEC  DE EST DO PLANEJ E DO DESEN ECONOMICO|SERVICO DE APO AS MED E PEQ EMP DE AL SEBRAE|2009|PJ
510557|00991861000189|001992|O CONVENIO TEM POR OBJETO REALIZAR O DESFILE DAS ESCOLAS DE SAMBA DE ALAGOAS NO CARNAVAL 2009, LEVANDO PARA AVENIDA AS MAIS TRADICIONAIS E POPULARES AGREMIACOES RECREATIVAS DO ESTADO.|01/2009-SECULT|104|27359|UNICA|2009/02/05|2010/01/05|100000|2009/02/09|1|2009/02/03|DESPESA|100000|0|FUNDO DE DESENVOLVIMENTO DE ACOES CULTURAIS|LIGA DAS ESCOLAS DE SAMBA DE ALAGOAS|2009|PJ
510524|12498937000118|002120|CONCESSAO DE OPORTUNIDADES DE COMPLEMENTACAO DE ENSINO E APRENDIZAGEM A MENORES E ADOLESCENTES NA CONDICAO DE APRENDIZ._O CONVENIO PREVE Q O VALOR TOTAL SERA DIVIDIDO EM 24 PARCELAS IGUAIS DE 36.270,0|02/2009|104|27359|11001|2009/12/22|2011/12/21|870480|2011/02/17|1|2009/12/21|DESPESA|870480|0|FUNDO ESTADUAL DE SAUDE|SOPROBEM SERV PROM E BEM ESTAR COMUNITARIO|2009|PJ
510526|12262242000132|002011|APOIAR FINANCEIRAMENTE A AMAI, VISANDO ATENDER 20 ADOLESCENTES COM VINCULO FAMILIAR ROMPIDO OU EM SITUACAO DE RISCO PESSOAL OU SOCIAL.|001/2009|104|27359|UNICA|2009/04/17|2010/04/16|367810.66|2009/04/17|1|2009/04/17|DESPESA|367810.66|0|FUNDO ESTADUAL DE ASSISTENCIA SOCIAL|ASSOC DO MOVIMENTO DE AMPARO A INFANCIA|2009|PJ
510557|12621710000118|002063|O CONVENIO TEM POR OBJETO PROMOVER A MANUTENCAO DAS TRADICOES DA CULTURA POPULAR ALAGOANA , ESPECIFICAMENTE AOS GRUPOS DE FOLGUEDOS POPULARES.|02/2009|104|27359|UNICA|2009/09/03|2009/09/03|138503.7|2009/10/27|1|2009/08/21|DESPESA|138503.7|0|FUNDO DE DESENVOLVIMENTO DE ACOES CULTURAIS|ASSOCIACAO DE FOLGUEDOS POPULARES DE ALAGOAS|2009|PJ
510557|12516654000151|002073|O CONVENIO TEM POR OBJETO A REALIZACAO DE ATIVIDADES NOS ESPA¿OS MUSEOLOGICOS DA FUNDACAO PIERRE CHALITA_,VALOR DE PARTIDA R$108.108,00. VALOR DE CONTRA PARTIDA R$14.745,00|04/2009|104|27359|UNICA|2009/10/02|2010/10/02|122853|2009/11/11|1|2009/09/30|DESPESA|122853|0|FUNDO DE DESENVOLVIMENTO DE ACOES CULTURAIS|FUNDACAO PIERRE CHALITA|2009|PJ
520030|12436168000123|002053|O PRESENTE CONVENIO TEM POR OBJETO PROMOVER ATRAVES DE PARCERIA COM O ESTADO DE ALAGOAS ATRAVES DA SEAGRI A REALIZACAO DA 5 EXPOALAGOAS - EXPOSICAO AGROPECUARIA DE ALAGOAS|1400-646/2006/|104|20478|0300019000|2009/06/16|2009/06/21|50000|2009/09/08|1|2009/06/03|DESPESA|50000|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|ASSOC. DOS CRIAD. DE CAPRINOS E OVINOS AL|2009|PJ
