descricao;empenhado;liquidado;pago
"06128143321310000";"2.379.823,94";"2.319.341,77";"2.317.158,47"
"06181228621240000";"73.015.999,82";"56.922.276,70";"56.920.878,65"
"06181228920430000";"282.197.986,95";"282.197.986,95";"279.948.062,63"
"06182143110120000";"41.529.288,10";"20.929.197,72";"20.929.197,72"
"06182143122720000";"521.836,34";"71.836,34";"71.405,84"
"06182143180285414";"158.695,76";"116.795,16";"30.301,60"
"06182143320730000";"120.669,14";"120.669,14";"120.669,14"
"06182143510140000";"1.532.103,47";"800.298,96";"800.298,96"
"06182143710150000";"12.000,00";"12.000,00";"6.000,00"
"06182143720790000";"656.812,78";"462.566,66";"449.431,72"
"06182145410130000";"300.000,00";"0,00";"0,00"
"06182145480285446";"99.927,46";"45.179,89";"0,00"
"06182228622710000";"7.422.922,05";"6.437.058,51";"6.039.238,88"
"06182228920440000";"78.892.999,59";"78.892.999,59";"78.476.689,77"
"06183143110200000";"10.994.753,23";"6.589.298,33";"5.663.328,09"
"06183143110210000";"211.626,00";"209.049,84";"209.049,84"
"06183143110220000";"4.838.301,02";"3.226.676,48";"1.095.693,80"
"06183143111090000";"956.686,55";"185.591,76";"185.591,76"
"06183143111100000";"5.117.600,83";"3.953.285,95";"3.477.648,92"
"06183143111110000";"7.635.760,63";"3.218.155,57";"3.165.967,24"
"06183143111120000";"36.269.673,53";"10.320.035,42";"6.997.540,87"
"06183143122920000";"29.546,98";"29.546,98";"29.546,98"
"06183143122980000";"733.516,07";"557.644,87";"459.308,91"
"06183143122990000";"4.919.972,76";"4.341.962,89";"3.410.368,13"
"06183143310170000";"486.767,30";"197.750,30";"0,00"
"06183143311060000";"30.700,00";"0,00";"0,00"
"06183143320770000";"488.976,74";"475.501,81";"334.480,22"
"06183143321460000";"112.132,72";"112.132,72";"77.507,72"
"06183143321570000";"6.231.054,96";"3.462.316,08";"3.051.003,08"
"06183143510930000";"873.646,05";"68.970,42";"68.970,42"
"06183143511050000";"6.133.153,44";"756.471,50";"705.466,40"
"06183143511160000";"2.846.947,01";"1.507.154,83";"1.270.702,27"
"06183144910890000";"572.863,57";"402.495,28";"402.495,28"
"06183145410180000";"80.481,99";"80.481,99";"59.778,59"
"06183145410180001";"160.867,50";"160.867,50";"142.442,50"
"06183145410190000";"206.796,22";"202.505,74";"66.304,84"
"06183145411070000";"33.315,26";"33.315,26";"29.594,02"
"06183145411130000";"142.878,45";"142.878,45";"142.878,45"
"06183145411150000";"556.702,17";"556.702,17";"556.702,17"
"06183228620750000";"2.809.257,19";"2.333.166,62";"2.329.180,52"
"06183228620760000";"13.514.120,81";"6.292.948,64";"6.027.521,12"
"06183228621320000";"1.604.320,47";"1.503.190,71";"1.502.760,74"
"06183228621450000";"3.633.446,49";"2.804.372,16";"2.632.238,61"
"06183228621470000";"1.831.129,03";"1.750.421,52";"1.746.387,10"
"06183228621580000";"15.200.502,53";"11.382.762,23";"10.562.398,92"
"06183228621800000";"11.240.799,92";"4.947.977,42";"4.943.928,05"
"06183228621810000";"4.308.949,33";"2.661.027,75";"2.478.491,08"
"06183228920410000";"10.787.404,83";"10.787.404,83";"10.787.404,83"
"06183228920420000";"1.814.632,63";"1.814.632,63";"1.803.980,08"
"06183228920650000";"173.216.846,26";"173.215.987,73";"173.181.069,30"
"06243145480285273";"75.000,00";"75.000,00";"75.000,00"
"06421144910900000";"914.166,84";"470.107,54";"462.568,06"
"06421144910920000";"59.031.667,03";"54.050.601,51";"42.600.955,96"
"06421228920370000";"156.954.596,27";"156.954.596,27";"156.949.071,02"
"08122228622510000";"6.241.343,69";"5.688.729,72";"4.819.622,59"
"08122228920330000";"1.463.562,60";"1.463.562,60";"1.463.562,60"
"08122228920580000";"5.658.134,30";"5.658.134,30";"5.658.134,30"
"08241147012390000";"3.093,79";"1.318,00";"1.318,00"
"08241147080285013";"200.000,00";"200.000,00";"200.000,00"
"08241147080285125";"20.000,00";"20.000,00";"20.000,00"
"08241147080285149";"50.000,00";"50.000,00";"50.000,00"
"08241147080285254";"900.000,00";"900.000,00";"900.000,00"
"08241147280285349";"30.000,00";"30.000,00";"30.000,00"
"08243147012380000";"62.888,99";"3.332,99";"3.332,99"
"08243147012610000";"522.469,65";"169.874,09";"165.326,97"
"08243147080285163";"50.000,00";"50.000,00";"0,00"
"08244143312540000";"30.020,11";"18.998,61";"18.998,61"
"08244143322460000";"122.764,66";"98.654,10";"94.154,10"
"08244146180285048";"20.000,00";"20.000,00";"20.000,00"
"08244146912410000";"80.041,89";"64.277,90";"64.277,90"
"08244146912440000";"300.927,66";"226.976,40";"225.177,48"
"08244146912450000";"2.575.118,95";"2.500.781,72";"1.934.923,71"
"08244146912460000";"116.313,10";"55.680,31";"50.241,59"
"08244146912470000";"1.362.369,46";"563.905,82";"555.647,54"
"08244146912480000";"350.020,00";"350.020,00";"350.020,00"
"08244146912490000";"199.084,55";"188.236,78";"188.236,78"
"08244146912500000";"13.993,11";"11.593,11";"11.593,11"
"08244146912510000";"123.585,38";"82.931,53";"82.931,53"
"08244146912520000";"2.508,61";"2.508,61";"2.508,61"
"08244146912640000";"6.206.311,04";"6.206.311,04";"6.206.311,04"
"08244146912650000";"1.639.981,50";"1.619.981,50";"1.618.979,63"
"08244146912660000";"27.492,94";"12.492,94";"12.492,94"
"08244147012220000";"1.088.308,60";"745.308,60";"745.308,60"
"08244147080285103";"30.000,00";"30.000,00";"0,00"
"08244147080285158";"50.000,00";"50.000,00";"0,00"
"08244147080285200";"30.000,00";"30.000,00";"30.000,00"
"08244147080285238";"60.000,00";"60.000,00";"60.000,00"
"08244147080285276";"100.000,00";"100.000,00";"100.000,00"
"08244147080285281";"1.000.000,00";"1.000.000,00";"1.000.000,00"
"08244147080285288";"41.447,84";"41.447,84";"41.447,84"
"08244147080285529";"20.000,00";"20.000,00";"20.000,00"
"08244147112370000";"249.287,56";"174.010,76";"174.010,76"
"08244147212360000";"3.681.518,42";"2.073.300,71";"2.060.097,95"
"08244147280285176";"30.000,00";"30.000,00";"30.000,00"
"08244147280285204";"100.000,00";"100.000,00";"100.000,00"
"08244147280285233";"90.000,00";"90.000,00";"90.000,00"
"08244228622500000";"1.774.635,92";"1.581.984,06";"1.536.955,85"
"08244228920570000";"17.372.258,36";"17.372.258,36";"17.372.258,36"
"08245146180285223";"50.000,00";"50.000,00";"50.000,00"
"08245146180285327";"98.939,63";"59.525,94";"54.645,33"
"08245146180285487";"11.626,16";"0,00";"0,00"
"08421147080285392";"20.000,00";"20.000,00";"0,00"
"08423143680285421";"100.000,00";"100.000,00";"100.000,00"
