descricao;empenhado;liquidado;pago
"3040010001";"625.760,07";"625.760,07";"625.760,07"
"3040010002";"3.667,35";"3.667,35";"3.667,35"
"3040010003";"9.415.684,82";"9.415.684,82";"9.415.684,82"
"3040010004";"30.236,78";"30.236,78";"30.236,78"
"3040010005";"17.855,87";"17.855,87";"17.855,87"
"3040010006";"1.042.664,95";"1.042.664,95";"1.042.664,95"
"3040010007";"83.077,57";"83.077,57";"83.077,57"
"3040010008";"1.064.419,49";"1.064.419,49";"1.064.419,49"
"3040010009";"2.500,00";"2.500,00";"2.500,00"
"3040010010";"6.000,00";"6.000,00";"6.000,00"
"3040010011";"263.813,75";"263.813,75";"263.813,75"
"3040010012";"750,00";"750,00";"750,00"
"3040010013";"994.725,48";"994.725,48";"994.725,48"
"3040010014";"336.501,22";"336.501,22";"336.501,22"
"3040010015";"0,00";"0,00";"0,00"
"3040010016";"132.135,08";"132.135,08";"132.135,08"
"3040010017";"225.206,85";"225.206,85";"225.206,85"
"3040010018";"6.000,00";"6.000,00";"6.000,00"
"3040010019";"265.000,00";"265.000,00";"265.000,00"
"3040010020";"43.500,00";"43.500,00";"43.500,00"
"3040010021";"792,13";"792,13";"792,13"
"3040010022";"1.848,31";"1.848,31";"1.848,31"
"3040010023";"120.000,00";"90.000,00";"90.000,00"
"3040010024";"0,00";"0,00";"0,00"
"3040010026";"1.848,31";"1.848,31";"1.848,31"
"3040010028";"74.272,09";"74.272,09";"74.272,09"
"3040010029";"5.400,00";"5.400,00";"5.400,00"
"3040010030";"27.104,80";"17.112,72";"17.112,72"
"3040010031";"1.320,22";"1.320,22";"1.320,22"
"3040010032";"1.320,22";"1.320,22";"1.320,22"
"3040010033";"1.320,22";"1.320,22";"1.320,22"
"3040010034";"2.091,47";"2.091,47";"2.091,47"
"3040010035";"0,00";"0,00";"0,00"
"3040010037";"1.320,22";"1.320,22";"1.320,22"
"3040010038";"1.320,22";"1.320,22";"1.320,22"
"3040010039";"48.000,00";"48.000,00";"48.000,00"
"3040010040";"2.200,41";"2.200,41";"2.200,41"
"3040010041";"0,00";"0,00";"0,00"
"3040010042";"3.319,29";"2.519,03";"2.519,03"
"3040010043";"709.770,12";"690.351,30";"687.219,90"
"3040010045";"51.487,80";"22.004,43";"22.004,43"
"3040010046";"1.541.526,06";"1.177.974,02";"1.177.974,02"
"3040010047";"13.831,48";"13.831,48";"13.831,48"
"3040010048";"2.136,33";"2.136,33";"2.136,33"
"3040010049";"508.200,00";"338.800,00";"338.800,00"
"3040010050";"563.067,24";"422.300,43";"422.300,43"
"3040010051";"387.439,56";"258.293,04";"258.293,04"
"3040010052";"279.957,60";"206.649,00";"206.649,00"
"3040010053";"491.577,36";"286.753,46";"286.753,46"
"3040010054";"360.000,00";"210.000,00";"210.000,00"
"3040010055";"8.000,00";"8.000,00";"8.000,00"
"3040010056";"8.000,00";"8.000,00";"8.000,00"
"3040010057";"1.000,00";"1.000,00";"1.000,00"
"3040010058";"15.000,00";"15.000,00";"15.000,00"
"3040010059";"1.000,00";"1.000,00";"1.000,00"
"3040010060";"20.000,00";"20.000,00";"20.000,00"
"3040010061";"1.000,00";"1.000,00";"1.000,00"
"3040010062";"1.000,00";"1.000,00";"1.000,00"
"3040010063";"20.000,00";"20.000,00";"20.000,00"
"3040010064";"5.000,00";"5.000,00";"5.000,00"
"3040010065";"1.000,00";"1.000,00";"1.000,00"
"3040010066";"5.000,00";"5.000,00";"5.000,00"
"3040010067";"1.000,00";"1.000,00";"1.000,00"
"3040010068";"15.000,00";"15.000,00";"15.000,00"
"3040010069";"1.000,00";"1.000,00";"1.000,00"
"3040010070";"3.750,00";"3.750,00";"3.750,00"
"3040010071";"3.750,00";"3.750,00";"3.750,00"
"3040010072";"5.000,00";"5.000,00";"5.000,00"
"3040010073";"1.000,00";"1.000,00";"1.000,00"
"3040010074";"5.000,00";"5.000,00";"5.000,00"
"3040010075";"1.000,00";"1.000,00";"1.000,00"
"3040010076";"7.722,17";"7.722,17";"7.722,17"
"3040010077";"4.447,50";"0,00";"0,00"
"3040010078";"12.285,00";"0,00";"0,00"
"3040010079";"1.895,00";"0,00";"0,00"
"3040010080";"1.450,00";"0,00";"0,00"
"3040010081";"7.600,00";"512,00";"512,00"
"3040010082";"50.014,56";"9.433,09";"9.433,09"
"3040010083";"209.665,47";"86.961,76";"76.269,74"
"3040010084";"38.665,68";"38.665,68";"38.665,68"
"3040010085";"47.396,64";"47.396,64";"47.396,64"
"3040010086";"103.125,01";"92.143,95";"92.143,95"
"3040010087";"3.134,70";"3.134,70";"3.134,70"
"3040010088";"2.213,39";"2.213,39";"2.213,39"
"3040010089";"1.844,49";"1.844,49";"1.844,49"
"3040010090";"7.170,00";"4.691,57";"4.691,57"
"3040010091";"100.233,00";"100.233,00";"100.233,00"
