descricao;empenhado;liquidado;pago
"3040010092";"558,00";"104,00";"104,00"
"3040010093";"792,13";"792,13";"792,13"
"3040010094";"792,13";"792,13";"792,13"
"3040010095";"2.904,49";"2.904,49";"2.904,49"
"3040010096";"2.904,49";"2.904,49";"2.904,49"
"3040010097";"2.904,49";"2.904,49";"2.904,49"
"3040010098";"792,13";"792,13";"792,13"
"3040010099";"792,13";"792,13";"792,13"
"3040010100";"792,13";"792,13";"792,13"
"3040010101";"27.871,50";"5.507,35";"5.507,35"
"3040010102";"2.200,50";"0,00";"0,00"
"3040010103";"880,00";"880,00";"880,00"
"3040010104";"22.989,12";"13.244,09";"13.244,09"
"3040010105";"9.370,00";"8.790,00";"8.790,00"
"3040010106";"2.300,00";"2.300,00";"2.300,00"
"3040010107";"30.000,00";"30.000,00";"30.000,00"
"3040010108";"3.036,00";"3.036,00";"3.036,00"
"3040010109";"254,54";"254,54";"254,54"
"3040010110";"1.357,00";"1.357,00";"1.357,00"
"3040010111";"4.789,00";"4.789,00";"4.789,00"
"3040010112";"800.000,00";"128.766,49";"128.766,49"
"3040010113";"1.076.546,30";"1.076.546,30";"1.076.546,30"
"3040010114";"13.239,23";"13.239,23";"13.239,23"
"3040010115";"2.464,44";"2.464,44";"2.464,44"
"3040010116";"2.464,44";"2.464,44";"2.464,44"
"3040010117";"2.464,44";"2.464,44";"2.464,44"
"3040010118";"1.848,31";"1.848,31";"1.848,31"
"3040010119";"1.848,31";"1.848,31";"1.848,31"
"3040010120";"210.700,00";"210.700,00";"210.700,00"
"3040010121";"1.403,70";"1.403,70";"1.403,70"
"3040010122";"20.827,56";"20.827,56";"20.827,56"
"3040010123";"1.320,24";"1.320,24";"1.320,24"
"3040010124";"2.200,40";"2.200,40";"2.200,40"
"3040010125";"2.091,47";"2.091,47";"2.091,47"
"3040010126";"792,13";"792,13";"792,13"
"3040010127";"792,13";"792,13";"792,13"
"3040010128";"1.320,22";"1.320,22";"1.320,22"
"3040010129";"1.320,22";"1.320,22";"1.320,22"
"3040010130";"24.500,00";"9.600,00";"9.600,00"
"3040010131";"20.000,00";"1.373,00";"1.373,00"
"3040010132";"62.912,22";"11.773,61";"11.773,61"
"3040010133";"337.946,08";"269.849,02";"269.849,02"
"3040010134";"16.601,65";"14.718,42";"14.718,42"
"3040010135";"437.982,63";"437.982,63";"437.982,63"
"3040010136";"371.818,57";"371.818,57";"371.818,57"
"3040010137";"40.449,50";"0,00";"0,00"
"3040010138";"13.509,86";"13.509,86";"13.509,86"
"3040010139";"4.877,56";"4.877,56";"4.877,56"
"3040010140";"1.320,22";"1.320,22";"1.320,22"
"3040010141";"1.320,22";"1.320,22";"1.320,22"
"3040010142";"13.239,23";"13.239,23";"13.239,23"
"3040010143";"1.140.342,38";"717.036,12";"717.036,12"
"3040010144";"84.736,44";"56.490,96";"56.490,96"
"3040010145";"15.842,40";"419,84";"419,84"
"3040010146";"3.552,38";"3.552,38";"3.552,38"
"3040010147";"2.904,49";"2.904,49";"2.904,49"
"3040010148";"2.904,49";"2.904,49";"2.904,49"
"3040010149";"2.904,49";"2.904,49";"2.904,49"
"3040010150";"132.020,00";"129.741,43";"129.741,43"
"3040010151";"1.366.678,32";"797.229,02";"797.229,02"
"3040010152";"225,40";"225,40";"225,40"
"3040010153";"3.667,35";"3.667,35";"3.667,35"
"3040010154";"4.554,00";"4.554,00";"4.554,00"
"3040010155";"679.764,84";"369.801,75";"369.801,75"
"3040010156";"18.395,07";"18.395,07";"18.395,07"
"3040010157";"37.851,90";"37.851,90";"37.851,90"
"3040010158";"15.803,46";"15.803,46";"15.803,46"
"3040010159";"3.395,79";"3.395,79";"3.395,79"
"3040010160";"3.395,79";"3.395,79";"3.395,79"
"3040010161";"3.764,65";"3.764,65";"3.764,65"
"3040010162";"3.395,79";"3.395,79";"3.395,79"
"3040010163";"3.395,79";"3.395,79";"3.395,79"
"3040010164";"3.395,79";"3.395,79";"3.395,79"
"3040010165";"3.395,79";"3.395,79";"3.395,79"
"3040010166";"3.395,79";"3.395,79";"3.395,79"
"3040010167";"3.395,79";"3.395,79";"3.395,79"
"3040010168";"3.395,79";"3.395,79";"3.395,79"
"3040010169";"3.395,79";"3.395,79";"3.395,79"
"3040010170";"7.325,66";"7.325,66";"7.325,66"
"3040010171";"237.000,00";"189.600,00";"189.600,00"
"3040010172";"639,00";"639,00";"639,00"
"3040010173";"48.250,00";"12.644,40";"12.644,40"
"3040010174";"14.000,00";"0,00";"0,00"
"3040010175";"6.601,23";"6.601,23";"6.601,23"
"3040010176";"1.886,55";"1.886,55";"1.886,55"
"3040010177";"1.985,85";"1.985,85";"1.985,85"
"3040010178";"1.320,22";"1.320,22";"1.320,22"
"3040010179";"1.320,22";"1.320,22";"1.320,22"
"3040010180";"1.985,85";"1.985,85";"1.985,85"
"3040010181";"1.886,55";"1.886,55";"1.886,55"
"3040010182";"1.886,55";"1.886,55";"1.886,55"
"3040010183";"40.000,00";"40.000,00";"40.000,00"
"3040010184";"740.854,85";"740.854,85";"740.854,85"
"3040010191";"2.091,47";"2.091,47";"2.091,47"
"3040010192";"2.091,47";"2.091,47";"2.091,47"
"3040010193";"1.848,31";"1.848,31";"1.848,31"
"3040010194";"1.670,63";"1.670,63";"1.670,63"
"3040010195";"7.783,84";"7.783,84";"7.783,84"
"3040010196";"80.000,00";"12.730,77";"12.730,77"
"3040010197";"2.100,00";"2.100,00";"2.100,00"
"3040010198";"170.780,00";"132.645,59";"132.645,59"
"3040010199";"33.654,26";"33.654,26";"33.654,26"
"3040010200";"4.210,18";"4.210,18";"4.210,18"
"3040010201";"6.165,77";"6.165,77";"6.165,77"
"3040010202";"4.210,18";"4.210,18";"4.210,18"
"3040010203";"3.341,40";"3.341,40";"3.341,40"
"3040010204";"4.247,10";"4.247,10";"4.247,10"
"3040010205";"9.920,58";"9.920,58";"9.920,58"
"3040010206";"9.285,62";"9.285,62";"9.285,62"
"3040010207";"92.348,55";"79.155,90";"79.155,90"
"3040010208";"30.421,28";"22.574,09";"22.574,09"
"3040010209";"3.432,58";"3.432,58";"3.432,58"
"3040010210";"3.432,58";"3.432,58";"3.432,58"
"3040010211";"3.432,58";"3.432,58";"3.432,58"
"3040010212";"3.432,58";"3.432,58";"3.432,58"
"3040010213";"3.432,58";"3.432,58";"3.432,58"
"3040010214";"3.432,58";"3.432,58";"3.432,58"
"3040010215";"3.432,58";"3.432,58";"3.432,58"
"3040010216";"362.660,51";"165.673,27";"165.673,27"
"3040010217";"7.418,23";"7.418,23";"7.418,23"
"3040010218";"8.925,00";"8.925,00";"8.925,00"
"3040010219";"53.592,00";"53.592,00";"53.592,00"
"3040010220";"3.960,67";"3.960,67";"3.960,67"
"3040010221";"6.601,23";"6.601,23";"6.601,23"
"3040010222";"4.877,56";"4.877,56";"4.877,56"
"3040010223";"3.080,56";"3.080,56";"3.080,56"
"3040010224";"2.200,40";"2.200,40";"2.200,40"
"3040010225";"5.134,29";"5.134,29";"5.134,29"
"3040010226";"3.080,56";"3.080,56";"3.080,56"
"3040010227";"2.091,47";"2.091,47";"2.091,47"
"3040010228";"1.848,31";"1.848,31";"1.848,31"
"3040010229";"1.848,31";"1.848,31";"1.848,31"
"3040010230";"1.848,31";"1.848,31";"1.848,31"
"3040010231";"1.848,31";"1.848,31";"1.848,31"
"3040010232";"1.848,31";"1.848,31";"1.848,31"
"3040010233";"6.601,23";"6.601,23";"6.601,23"
"3040010234";"792,13";"792,13";"792,13"
"3040010235";"792,13";"792,13";"792,13"
"3040010236";"792,13";"792,13";"792,13"
"3040010237";"1.848,31";"1.848,31";"1.848,31"
"3040010238";"1.848,31";"1.848,31";"1.848,31"
"3040010239";"1.254,88";"1.254,88";"1.254,88"
"3040010240";"1.393,59";"1.393,59";"1.393,59"
"3040010241";"792,13";"792,13";"792,13"
"3040010242";"792,13";"792,13";"792,13"
"3040010243";"792,13";"792,13";"792,13"
"3040010244";"10.354,16";"10.354,16";"10.354,16"
"3040010245";"12.101,43";"12.101,43";"12.101,43"
"3040010246";"8.068,17";"8.068,17";"8.068,17"
"3040010247";"2.090,38";"2.090,38";"2.090,38"
"3040010248";"7.880,00";"7.880,00";"7.880,00"
"3040010249";"6.271,15";"6.271,15";"6.271,15"
"3040010250";"4.877,56";"4.877,56";"4.877,56"
"3040010251";"3.080,56";"3.080,56";"3.080,56"
"3040010252";"1.320,22";"1.320,22";"1.320,22"
"3040010253";"1.320,22";"1.320,22";"1.320,22"
"3040010254";"1.254,88";"1.254,88";"1.254,88"
"3040010255";"1.320,22";"1.320,22";"1.320,22"
"3040010256";"1.320,22";"1.320,22";"1.320,22"
"3040010257";"1.320,22";"1.320,22";"1.320,22"
"3040010258";"1.320,22";"1.320,22";"1.320,22"
"3040010259";"9.647.861,48";"9.647.861,48";"9.647.861,48"
"3040010260";"32.986,66";"32.986,66";"32.986,66"
"3040010261";"17.855,87";"17.855,87";"17.855,87"
"3040010262";"1.062.106,85";"1.062.106,85";"1.062.106,85"
"3040010263";"82.874,15";"82.874,15";"82.874,15"
"3040010264";"1.109.073,25";"1.109.073,25";"1.109.073,25"
"3040010265";"0,00";"0,00";"0,00"
"3040010266";"2.500,00";"2.500,00";"2.500,00"
"3040010267";"274.742,09";"274.742,09";"274.742,09"
"3040010268";"750,00";"750,00";"750,00"
"3040010269";"4.036,51";"4.036,51";"4.036,51"
"3040010270";"275.000,00";"275.000,00";"275.000,00"
"3040010271";"41.536,51";"41.536,51";"41.536,51"
"3040010272";"356.334,64";"356.334,64";"356.334,64"
"3040010273";"77.753,32";"77.753,32";"77.753,32"
"3040010274";"476.227,74";"476.227,74";"476.227,74"
"3040010275";"8.666,45";"8.666,45";"8.666,45"
"3040010277";"6.000,00";"6.000,00";"6.000,00"
"3040010278";"1.538.471,17";"1.538.471,17";"1.538.471,17"
"3040010279";"2.141,90";"2.141,90";"2.141,90"
"3040010280";"65.274,00";"65.274,00";"65.274,00"
"3040010281";"4.150,41";"4.150,41";"4.150,41"
"3040010282";"3.483,97";"3.483,97";"3.483,97"
"3040010283";"3.080,56";"3.080,56";"3.080,56"
"3040010284";"5.134,29";"5.134,29";"5.134,29"
"3040010285";"1.848,31";"1.848,31";"1.848,31"
"3040010286";"1.848,31";"1.848,31";"1.848,31"
"3040010287";"629.492,65";"629.492,65";"629.492,65"
"3040010288";"1.129.774,92";"668.110,38";"668.110,38"
"3040010289";"750,00";"750,00";"750,00"
"3040010290";"640.000,00";"640.000,00";"640.000,00"
"3040010291";"0,00";"0,00";"0,00"
"3040010293";"11.000,00";"8.000,00";"8.000,00"
"3040010294";"55.000,00";"40.000,00";"40.000,00"
"3040010295";"11.000,00";"8.000,00";"8.000,00"
"3040010296";"55.000,00";"40.000,00";"40.000,00"
"3040010297";"41.250,00";"30.000,00";"30.000,00"
"3040010298";"41.250,00";"30.000,00";"30.000,00"
"3040010299";"11.000,00";"8.000,00";"8.000,00"
"3040010300";"165.000,00";"120.000,00";"120.000,00"
"3040010301";"11.000,00";"8.000,00";"8.000,00"
"3040010302";"11.000,00";"8.000,00";"8.000,00"
"3040010303";"55.000,00";"40.000,00";"40.000,00"
"3040010304";"11.000,00";"8.000,00";"8.000,00"
"3040010305";"33.401,61";"3.036,51";"3.036,51"
"3040010306";"220.000,00";"160.000,00";"160.000,00"
"3040010307";"11.000,00";"8.000,00";"8.000,00"
"3040010308";"11.000,00";"8.000,00";"8.000,00"
"3040010309";"11.000,00";"8.000,00";"8.000,00"
"3040010310";"220.000,00";"160.000,00";"160.000,00"
"3040010311";"0,00";"0,00";"0,00"
"3040010313";"165.000,00";"120.000,00";"120.000,00"
"3040010314";"1.154.562,32";"1.154.562,32";"1.154.562,32"
"3040010315";"13.948,50";"13.948,50";"13.948,50"
"3040010316";"1.926,02";"1.926,02";"1.926,02"
"3040010317";"3.134,70";"3.134,70";"3.134,70"
"3040010318";"1.670,63";"1.670,63";"1.670,63"
"3040010319";"0,00";"0,00";"0,00"
"3040010321";"4.554,00";"4.554,00";"4.554,00"
"3040010322";"1.848,31";"1.848,31";"1.848,31"
"3040010323";"1.848,31";"1.848,31";"1.848,31"
"3040010324";"1.848,31";"1.848,31";"1.848,31"
"3040010325";"1.848,31";"1.848,31";"1.848,31"
"3040010326";"160,88";"160,88";"160,88"
"3040010327";"11.538,80";"11.538,80";"11.538,80"
"3040010328";"15.000,00";"15.000,00";"15.000,00"
"3040010329";"10.059,11";"10.059,11";"10.059,11"
"3040010330";"1.090,89";"1.090,89";"1.090,89"
"3040010331";"11.340,00";"11.340,00";"11.340,00"
"3040010332";"1.320,22";"1.320,22";"1.320,22"
"3040010333";"1.320,22";"1.320,22";"1.320,22"
"3040010334";"22.020,46";"22.020,46";"22.020,46"
"3040010335";"536.362,01";"536.362,01";"536.362,01"
"3040010336";"319.306,03";"319.306,03";"319.306,03"
"3040010337";"22.410,58";"22.410,58";"22.410,58"
"3040010338";"33.241,76";"33.241,76";"33.241,76"
"3040010339";"18.528,78";"18.528,78";"18.528,78"
"3040010340";"233,52";"233,52";"233,52"
"3040010341";"39.086,12";"39.086,12";"39.086,12"
"3040010347";"8.365,34";"8.365,34";"8.365,34"
"3040010348";"4.366,36";"4.366,36";"4.366,36"
"3040010349";"10.159,16";"10.159,16";"10.159,16"
"3040010350";"65.000,00";"65.000,00";"65.000,00"
"3040010351";"3.036,00";"3.036,00";"3.036,00"
"3040010352";"138,18";"138,18";"138,18"
"3040010353";"7.613,66";"7.613,66";"7.613,66"
"3040010354";"214.600,00";"214.600,00";"214.600,00"
"3040010356";"43.504,40";"43.480,84";"43.480,84"
"3040010357";"1.200,00";"382,80";"382,80"
"3040010358";"3.960,72";"3.960,72";"3.960,72"
"3040010359";"3.960,72";"3.960,72";"3.960,72"
"3040010360";"3.960,72";"3.960,72";"3.960,72"
"3040010361";"3.960,72";"3.960,72";"3.960,72"
"3040010362";"3.960,72";"3.960,72";"3.960,72"
"3040010363";"2.090,38";"2.090,38";"2.090,38"
"3040010364";"4.877,56";"4.877,56";"4.877,56"
"3040010365";"4.877,56";"4.877,56";"4.877,56"
"3040010366";"3.483,97";"3.483,97";"3.483,97"
"3040010367";"4.233,63";"0,00";"0,00"
"3040010368";"7.609,50";"7.609,50";"7.609,50"
"3040010369";"729.633,46";"729.630,41";"729.630,41"
"3040010370";"75.900,00";"41.400,00";"41.400,00"
"3040010371";"126.500,00";"69.000,00";"69.000,00"
"3040010372";"0,00";"0,00";"0,00"
"3040010373";"72.765,00";"39.690,00";"39.690,00"
"3040010374";"261.953,12";"142.883,52";"142.883,52"
"3040010375";"8.000,00";"8.000,00";"8.000,00"
"3040010377";"761.598,29";"761.598,29";"761.598,29"
"3040010378";"2.178,00";"0,00";"0,00"
"3040010379";"2.033,70";"1.967,40";"1.967,40"
"3040010380";"1.673.200,00";"1.673.200,00";"1.673.200,00"
"3040010381";"350.000,00";"350.000,00";"350.000,00"
"3040010382";"10.000,00";"10.000,00";"10.000,00"
"3040010383";"5.963,00";"5.963,00";"5.963,00"
"3040010384";"209,05";"209,05";"209,05"
"3040010385";"292,67";"292,67";"292,67"
"3040010386";"292,67";"292,67";"292,67"
"3040010387";"125,43";"125,43";"125,43"
"3040010388";"237,64";"237,64";"237,64"
"3040010389";"237,64";"237,64";"237,64"
"3040010390";"237,64";"237,64";"237,64"
"3040010391";"237,64";"237,64";"237,64"
"3040010392";"237,64";"237,64";"237,64"
"3040010393";"281.480,34";"281.480,34";"281.480,34"
"3040010394";"15.760,00";"5.910,00";"5.910,00"
"3040010395";"2.332,42";"2.332,42";"2.332,42"
"3040010396";"1.399,45";"1.399,45";"1.399,45"
"3040010397";"1.999,75";"1.999,75";"1.999,75"
"3040010398";"1.999,75";"1.999,75";"1.999,75"
"3040010399";"2.799,65";"2.799,65";"2.799,65"
"3040010400";"2.799,65";"2.799,65";"2.799,65"
"3040010401";"2.799,65";"2.799,65";"2.799,65"
"3040010402";"2.799,65";"2.799,65";"2.799,65"
"3040010403";"2.799,65";"2.799,65";"2.799,65"
"3040010404";"2.799,65";"2.799,65";"2.799,65"
"3040010405";"2.799,65";"2.799,65";"2.799,65"
"3040010406";"2.799,65";"2.799,65";"2.799,65"
"3040010407";"3.599,55";"3.599,55";"3.599,55"
"3040010408";"3.599,55";"3.599,55";"3.599,55"
"3040010409";"2.799,65";"2.799,65";"2.799,65"
"3040010410";"120.300,00";"16.535,00";"16.535,00"
"3040010411";"4.540,45";"4.540,45";"4.540,45"
"3040010412";"20.876,03";"20.876,03";"20.876,03"
"3040010413";"9.136,27";"9.136,27";"9.136,27"
"3040010414";"8.292,12";"8.292,12";"8.292,12"
"3040010415";"8.292,12";"8.292,12";"8.292,12"
"3040010416";"280,00";"280,00";"280,00"
"3040010417";"1.399,45";"1.399,45";"1.399,45"
"3040010418";"1.399,45";"1.399,45";"1.399,45"
"3040010419";"1.399,45";"1.399,45";"1.399,45"
"3040010420";"3.918,46";"3.918,46";"3.918,46"
"3040010421";"3.918,46";"3.918,46";"3.918,46"
"3040010422";"3.918,46";"3.918,46";"3.918,46"
"3040010423";"6.647,44";"6.647,44";"6.647,44"
"3040010424";"3.265,39";"3.265,39";"3.265,39"
"3040010425";"5.442,36";"5.442,36";"5.442,36"
"3040010426";"5.170,23";"5.170,23";"5.170,23"
"3040010427";"5.170,23";"5.170,23";"5.170,23"
"3040010428";"8.480,00";"8.459,86";"8.459,86"
"3040010429";"2.720,00";"0,00";"0,00"
"3040010430";"0,00";"0,00";"0,00"
"3040010431";"0,00";"0,00";"0,00"
"3040010432";"2.519,01";"2.519,01";"2.519,01"
"3040010433";"2.519,01";"2.519,01";"2.519,01"
"3040010434";"2.519,01";"2.519,01";"2.519,01"
"3040010435";"3.078,79";"3.078,79";"3.078,79"
"3040010436";"3.078,79";"3.078,79";"3.078,79"
"3040010437";"3.078,79";"3.078,79";"3.078,79"
"3040010438";"3.078,79";"3.078,79";"3.078,79"
"3040010439";"3.078,79";"3.078,79";"3.078,79"
"3040010440";"36.199,98";"30.166,65";"30.166,65"
"3040010441";"3.265,39";"3.265,39";"3.265,39"
"3040010442";"3.078,79";"3.078,79";"3.078,79"
"3040010443";"3.078,79";"3.078,79";"3.078,79"
"3040010444";"3.078,79";"3.078,79";"3.078,79"
"3040010445";"2.519,01";"2.519,01";"2.519,01"
"3040010446";"2.519,01";"2.519,01";"2.519,01"
"3040010447";"2.519,01";"2.519,01";"2.519,01"
"3040010448";"4.080,00";"0,00";"0,00"
"3040010449";"2.519,01";"2.519,01";"2.519,01"
"3040010450";"144.750,00";"2.565,00";"2.565,00"
"3040010451";"266.975,46";"42.028,76";"42.028,76"
"3040010452";"9.665.501,59";"9.665.501,59";"9.665.501,59"
"3040010453";"32.986,66";"32.986,66";"32.986,66"
"3040010454";"17.855,87";"17.855,87";"17.855,87"
"3040010455";"1.068.382,24";"1.068.382,24";"1.068.382,24"
"3040010456";"82.582,52";"82.582,52";"82.582,52"
"3040010457";"1.109.073,25";"1.109.073,25";"1.109.073,25"
"3040010458";"6.000,00";"6.000,00";"6.000,00"
"3040010459";"2.500,00";"2.500,00";"2.500,00"
"3040010460";"274.742,09";"274.742,09";"274.742,09"
"3040010461";"750,00";"750,00";"750,00"
"3040010462";"1.000,00";"1.000,00";"1.000,00"
"3040010463";"272.552,56";"272.552,56";"272.552,56"
"3040010464";"38.500,00";"38.500,00";"38.500,00"
"3040010465";"354.528,60";"354.528,60";"354.528,60"
"3040010466";"77.753,32";"77.753,32";"77.753,32"
"3040010467";"528.842,90";"528.842,90";"528.842,90"
"3040010468";"140.331,00";"140.331,00";"140.331,00"
"3040010469";"47.092,55";"47.092,55";"47.092,55"
"3040010470";"15.000,00";"15.000,00";"15.000,00"
"3040010471";"3.599,55";"3.599,55";"3.599,55"
"3040010472";"4.758,13";"4.758,13";"4.758,13"
"3040010473";"4.758,13";"4.758,13";"4.758,13"
"3040010474";"3.265,39";"3.265,39";"3.265,39"
"3040010475";"3.693,02";"3.693,02";"3.693,02"
"3040010476";"3.078,79";"3.078,79";"3.078,79"
"3040010477";"1.959,23";"1.959,23";"1.959,23"
"3040010478";"1.959,23";"1.959,23";"1.959,23"
"3040010479";"6.064,30";"6.064,30";"6.064,30"
"3040010480";"6.064,30";"6.064,30";"6.064,30"
"3040010481";"14.694,72";"14.694,72";"14.694,72"
"3040010484";"1.399,45";"1.399,45";"1.399,45"
"3040010485";"1.399,45";"1.399,45";"1.399,45"
"3040010486";"3.638,57";"3.638,57";"3.638,57"
"3040010487";"3.638,57";"3.638,57";"3.638,57"
"3040010488";"3.638,57";"3.638,57";"3.638,57"
"3040010489";"3.638,57";"3.638,57";"3.638,57"
"3040010490";"150.000,00";"94.062,81";"94.062,81"
"3040010491";"7.253,00";"7.253,00";"7.253,00"
"3040010492";"652.464,15";"652.464,15";"652.464,15"
"3040010493";"0,00";"0,00";"0,00"
"3040010494";"1.159.409,43";"1.159.409,43";"1.159.409,43"
"3040010495";"13.948,50";"13.948,50";"13.948,50"
"3040010496";"55.000,00";"55.000,00";"55.000,00"
"3040010497";"12.750,00";"1.550,00";"1.550,00"
"3040010498";"135.000,00";"34.380,00";"34.380,00"
"3040010499";"42.500,00";"42.500,00";"42.500,00"
"3040010500";"99.000,00";"16.775,00";"16.775,00"
"3040010501";"6.173,30";"6.173,30";"6.173,30"
"3040010502";"7.178,00";"0,00";"0,00"
"3040010503";"4.820,00";"4.820,00";"4.820,00"
"3040010504";"8.318,70";"8.318,70";"8.318,70"
"3040010505";"8.124,65";"8.124,65";"8.124,65"
"3040010506";"8.124,65";"8.124,65";"8.124,65"
"3040010507";"839,67";"839,67";"839,67"
"3040010508";"839,67";"839,67";"839,67"
"3040010509";"1.199,85";"1.199,85";"1.199,85"
"3040010510";"1.959,23";"1.959,23";"1.959,23"
"3040010511";"6.647,44";"6.647,44";"6.647,44"
"3040010512";"2.332,44";"2.332,44";"2.332,44"
"3040010513";"5.170,23";"5.170,23";"5.170,23"
"3040010514";"3.693,02";"3.693,02";"3.693,02"
"3040010515";"3.693,02";"3.693,02";"3.693,02"
"3040010516";"2.519,01";"2.519,01";"2.519,01"
"3040010517";"2.519,01";"2.519,01";"2.519,01"
"3040010518";"2.519,01";"2.519,01";"2.519,01"
"3040010519";"2.519,01";"2.519,01";"2.519,01"
"3040010520";"1.399,45";"1.399,45";"1.399,45"
"3040010521";"1.399,45";"1.399,45";"1.399,45"
"3040010522";"1.399,45";"1.399,45";"1.399,45"
"3040010523";"1.959,23";"1.959,23";"1.959,23"
"3040010524";"1.959,23";"1.959,23";"1.959,23"
"3040010525";"106.750,00";"106.750,00";"106.750,00"
"3040010526";"147.687,01";"147.521,83";"147.521,83"
"3040010527";"121.626,15";"25.592,93";"25.592,93"
"3040010528";"11.876,12";"11.876,12";"11.876,12"
"3040010529";"11.876,12";"11.876,12";"11.876,12"
"3040010530";"11.876,12";"11.876,12";"11.876,12"
"3040010531";"11.876,12";"11.876,12";"11.876,12"
